Escenario,Valor,Confianza_Valor,Cambio_vs_Ultimo,Direccion,Confianza_Direccion,DJCIIM_Cambio,Correlacion_Cobre_DJCIIM,Volatilidad_Compuesta
BASE,444.24107835919847,95,-0.5600360029819229,BAJA,83,1.7627930857436303,0.8453912789927305,1.3443208638100248
ALCISTA,448.0760415018872,10.133493673045676,0.29839113357952307,ALZA,55,1.7627930857436303,0.8453912789927305,1.3443208638100248
BAJISTA,440.537827287057,81.70895972205355,-1.3889804010231876,BAJA,86,1.7627930857436303,0.8453912789927305,1.3443208638100248
CONSERVADOR,445.24184701551906,35,-0.3360216017891604,BAJA,69,1.7627930857436303,0.8453912789927305,1.3443208638100248
