.model_id,.model_desc,.type,mae,mape,mase,smape,rmse,rsq
7,GLMNET,Test,1.3948588579514334,0.33814003414639715,0.3966730156653236,0.3384300565842783,1.883367434423697,0.9959964443481056
999,ENSEMBLE PONDERADO OPTIMAL,Test,1.4527547694997698,0.35359615201664113,NA,NA,1.9545488031873097,NA
8,KERNLAB,Test,2.644856271528468,0.6483221366811862,0.7521500166471113,0.6485331028406048,3.5614694375583738,0.9841912371218605
5,LM,Test,3.5141409211217964,0.8594917047054245,0.9993590883464402,0.8595280846194961,4.8034130953441725,0.9706942534501444
